,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-06-11,13.4,,7.2,1.4,7.5,SSE,41,15:05,13.9,98,1,WNW,19,1023.7,,,3,SSE,26,1022.3
,2020-06-12,11.9,16.2,,2.0,0.3,WNW,28,00:26,13.8,96,8,WNW,15,1026.3,14.5,97,8,W,15,1024.3
,2020-06-13,11.1,19.8,6.0,2.0,4.3,E,22,14:26,12.6,100,6,WNW,13,1023.5,18.1,84,7,ENE,11,1018.9
,2020-06-14,12.6,21.8,10.0,0.8,6.3,WNW,41,17:44,14.4,98,7,NNW,9,1014.0,21.2,36,1,W,20,1014.4
,2020-06-15,8.8,20.6,0,3.0,9.8,W,30,09:52,11.8,72,1,WNW,15,1023.6,20.1,51,1,WNW,19,1021.0
,2020-06-16,10.3,21.5,0,3.2,9.3,WNW,30,12:27,13.0,79,0,WNW,13,1024.2,21.4,46,1,WNW,13,1021.8
,2020-06-17,10.7,17.4,0,3.4,1.5,SSE,39,16:54,12.8,76,6,WNW,20,1031.7,16.7,72,8,SE,24,1032.7
,2020-06-18,11.8,19.9,3.2,1.2,4.7,SE,30,04:13,13.3,87,7,WNW,17,1038.3,17.2,59,3,E,13,1035.1
,2020-06-19,9.1,20.1,0,4.0,8.7,E,24,14:22,11.3,95,1,WNW,15,1032.6,19.0,72,1,ENE,17,1027.6
,2020-06-20,9.0,21.8,0,2.8,6.8,N,24,15:24,9.3,99,7,WNW,17,1024.9,21.2,53,1,S,2,1019.5
,2020-06-21,9.3,19.3,5.8,1.4,5.0,WSW,43,07:09,11.7,95,8,NW,9,1014.3,18.7,66,1,W,9,1008.8
,2020-06-22,9.1,17.8,0.6,2.0,4.3,W,39,16:17,10.4,79,7,W,17,1010.6,14.7,57,5,WNW,19,1008.6
,2020-06-23,7.8,17.4,0,2.0,8.6,W,44,12:47,10.8,69,3,W,13,1012.3,17.0,43,3,W,28,1011.1
,2020-06-24,7.8,18.8,0,3.6,5.4,SW,43,14:58,11.1,72,3,WNW,20,1014.3,17.5,54,7,SW,22,1013.6
,2020-06-25,9.5,19.7,0,2.2,9.3,W,41,02:09,11.5,77,0,W,26,1019.9,18.7,46,1,W,26,1018.1
,2020-06-26,8.5,19.3,0,3.0,8.7,WNW,33,05:05,10.8,72,1,W,19,1023.9,18.3,48,2,SSE,15,1022.6
,2020-06-27,9.5,16.6,1.2,2.6,2.7,S,33,11:56,10.7,82,7,NW,9,1027.9,15.2,66,7,SSE,19,1026.3
,2020-06-28,9.1,16.2,0.2,2.4,2.0,SSE,41,16:24,9.8,80,5,WNW,20,1028.3,14.9,67,7,S,22,1026.3
,2020-06-29,9.5,16.8,8.4,2.6,1.7,W,26,07:33,11.8,99,7,WNW,17,1028.1,14.7,78,7,SSE,13,1026.1
,2020-06-30,8.5,18.8,1.8,0.8,8.0,ENE,24,14:25,9.7,100,2,W,13,1026.9,18.6,74,5,ENE,13,1022.1
,2020-07-1,7.9,22.8,0,1.4,8.9,W,28,05:49,11.2,87,1,W,22,1022.1,21.4,44,1,E,6,1017.8
,2020-07-2,11.2,22.9,,3.4,9.2,NNW,54,12:41,17.6,58,1,NNW,22,1016.1,21.3,46,3,NNW,35,1013.2
,2020-07-3,10.4,18.7,0,3.6,8.2,W,37,17:20,12.9,64,1,WNW,11,1020.8,18.5,40,2,W,19,1017.8
,2020-07-4,8.7,17.1,1.6,3.8,7.6,W,52,21:41,9.3,88,6,W,17,1019.7,16.0,40,1,SW,2,1018.6
,2020-07-5,8.5,19.1,0.2,3.4,8.6,W,39,09:53,11.2,67,1,W,20,1022.1,17.4,43,2,SSE,13,1021.1
,2020-07-6,7.8,19.3,0,2.4,9.2,W,31,03:58,10.3,79,1,W,24,1028.0,18.9,50,1,SSE,9,1026.0
,2020-07-7,10.2,16.9,0,3.0,3.5,S,37,18:11,11.1,76,2,WNW,19,1030.4,15.5,60,5,SW,11,1028.8
,2020-07-8,10.9,17.6,11.2,1.2,0.7,W,20,03:07,11.7,99,7,W,13,1031.5,14.2,79,7,ESE,2,1029.3
,2020-07-9,8.5,17.9,0,0.8,8.8,WNW,22,09:04,10.2,99,1,WNW,19,1031.5,17.0,78,2,ENE,19,1027.7
,2020-07-10,10.1,17.7,0,2.8,2.4,WNW,20,08:47,11.1,99,7,W,17,1027.2,16.5,76,7,WNW,7,1023.6
,2020-07-11,11.1,15.9,4.8,0.0,0.5,WNW,19,06:03,12.6,98,8,WNW,7,1018.1,15.7,88,7,WNW,6,1013.9
,2020-07-12,9.3,18.8,0.6,1.6,6.3,N,43,16:16,10.5,99,1,W,20,1016.4,15.4,70,5,ENE,9,1014.8
,2020-07-13,8.5,18.4,4.6,2.4,8.1,W,33,20:12,10.3,98,3,WNW,20,1018.7,16.9,58,4,SW,11,1016.5
,2020-07-14,10.3,15.9,19.4,1.2,3.3,SSE,74,10:30,14.5,82,7,S,30,1016.3,15.5,76,4,S,30,1016.6
,2020-07-15,10.9,15.0,16.4,1.6,2.1,SW,59,14:00,12.2,77,6,W,19,1018.3,13.8,71,7,SW,30,1016.3
,2020-07-16,9.3,15.3,0,4.4,2.1,SSW,57,14:18,11.3,63,4,W,26,1017.5,13.9,72,7,SW,24,1016.2
,2020-07-17,10.8,15.1,0.2,3.8,0.2,SSW,48,13:25,11.9,72,7,W,24,1020.4,14.9,70,7,SSW,20,1020.1
,2020-07-18,9.5,18.1,1.2,1.2,3.1,WSW,24,00:04,12.6,79,7,WNW,17,1022.0,17.6,59,7,E,7,1019.5
,2020-07-19,7.6,20.7,0,,7.3,W,22,07:32,10.1,95,5,WNW,15,1018.1,18.2,50,6,WNW,9,1013.4
,2020-07-20,9.9,19.4,0,5.0,9.7,W,46,06:30,12.6,44,1,WSW,24,1018.9,19.4,29,0,WSW,17,1017.9
,2020-07-21,7.8,17.4,0,4.0,9.7,W,37,06:41,10.6,67,1,W,24,1026.8,16.7,49,1,S,17,1026.3
,2020-07-22,7.0,20.0,0,2.6,8.1,WNW,26,04:57,10.1,77,7,W,20,1027.8,17.3,60,6,E,13,1024.0
,2020-07-23,7.3,20.1,0,2.2,9.6,W,26,08:09,10.0,79,1,W,19,1026.4,19.2,61,1,E,11,1024.0
,2020-07-24,8.1,19.0,0,2.8,8.7,E,24,13:37,10.1,99,1,WNW,13,1027.9,17.5,71,2,E,20,1025.1
,2020-07-25,9.3,18.0,0,3.0,1.6,ENE,33,19:59,9.8,99,7,WNW,6,1026.1,15.5,91,7,E,7,1023.4
,2020-07-26,9.8,16.5,7.4,0.4,0.0,SSE,74,19:53,13.6,100,8,W,9,1018.6,15.1,100,8,SSE,6,1011.7
,2020-07-27,13.5,16.3,84.6,25.4,0.0,SW,56,15:09,15.5,100,8,W,24,997.6,14.5,93,8,SSW,22,998.7
,2020-07-28,12.3,18.4,53.2,1.0,4.2,SSW,54,11:55,15.3,96,7,SW,26,1007.7,18.1,69,6,SSW,20,1009.8
,2020-07-29,10.1,19.3,3.8,2.6,9.2,S,33,11:59,13.8,79,2,WNW,17,1017.0,18.1,58,3,S,22,1015.5
,2020-07-30,10.1,18.3,0,4.0,9.4,SSE,39,15:55,12.4,83,1,WNW,20,1023.7,17.1,54,3,S,20,1023.0
,2020-07-31,8.2,18.8,0,2.6,9.6,W,26,08:43,11.0,79,1,WNW,20,1029.1,18.6,50,1,ESE,9,1026.4
,2020-03-1,18.7,29.7,0,5.4,10.5,NNE,48,18:15,21.1,92,1,WNW,4,1014.4,28.2,62,5,ENE,20,1010.2
,2020-03-2,20.0,38.0,0,9.6,9.1,S,80,15:35,23.4,61,3,W,17,1009.2,37.5,19,7,E,9,1007.3
,2020-03-3,20.4,21.9,0,10.0,0.0,SSE,31,00:18,21.3,72,8,SSE,15,1019.1,20.5,81,8,SSW,13,1019.6
,2020-03-4,18.6,25.6,22.4,1.4,0.0,ENE,46,07:41,19.9,100,8,E,28,1019.4,24.7,74,7,ENE,15,1016.3
,2020-03-5,19.9,22.8,8.0,3.2,0.0,NNE,54,15:10,22.1,95,7,NE,15,1011.9,20.9,98,7,N,19,1008.0
,2020-03-6,20.7,27.6,40.6,1.4,5.7,S,44,17:18,21.7,98,6,WNW,13,1007.4,24.5,79,8,SSE,20,1009.2
,2020-03-7,19.4,24.9,0,6.8,6.4,SSE,44,13:56,19.9,84,7,SSW,19,1019.3,23.4,66,2,SSE,28,1019.5
,2020-03-8,16.6,23.2,18.8,7.8,3.6,SSE,33,01:49,18.1,95,8,SW,15,1021.5,21.3,66,7,SSE,17,1019.5
,2020-03-9,16.7,22.2,7.2,2.8,,SSE,37,13:40,16.7,96,7,ESE,4,1021.7,21.2,74,7,SSE,24,1020.6
,2020-03-10,16.6,23.6,4.0,4.4,4.9,S,24,09:37,18.7,80,6,S,13,1022.2,23.3,57,6,SE,13,1020.6
,2020-03-11,15.4,26.0,0,3.6,10.6,ESE,28,10:44,17.1,93,2,WNW,13,1023.4,25.3,55,4,ESE,19,1023.1
,2020-03-12,17.0,26.6,0.8,5.4,10.8,E,28,09:31,19.0,92,1,WNW,11,1025.7,26.2,53,1,E,17,1023.5
,2020-03-13,15.1,26.5,0,7.4,11.2,NE,37,16:52,17.1,91,1,WNW,13,1020.9,25.7,57,1,E,24,1016.1
,2020-03-14,17.1,17.9,0,7.8,0.0,S,65,07:03,17.3,80,7,S,41,1016.5,13.1,94,8,WSW,22,1018.4
,2020-03-15,13.0,20.3,12.6,4.4,3.3,SSE,48,08:57,17.2,76,4,S,22,1021.8,17.5,92,7,SSW,15,1021.8
,2020-03-16,15.7,22.5,15.0,3.4,3.3,SE,48,12:28,17.6,100,7,WNW,7,1024.7,18.9,92,7,SSE,19,1025.3
,2020-03-17,14.8,23.9,10.4,4.4,4.3,W,28,04:08,16.9,96,7,W,11,1027.8,22.9,65,7,ESE,13,1026.3
,2020-03-18,14.6,25.8,0,2.6,10.7,NNE,35,17:29,15.8,98,1,W,9,1027.0,24.5,59,2,ENE,19,1022.5
,2020-03-19,15.8,32.0,0.2,7.0,10.6,WNW,22,07:46,18.2,87,5,WNW,19,1022.1,30.4,46,3,ENE,13,1019.3
,2020-03-20,18.2,34.7,0,6.6,10.0,S,48,20:46,22.8,68,7,WNW,4,1015.7,34.3,29,1,NW,20,1010.9
,2020-03-21,18.1,27.6,0,9.8,9.7,SSE,39,13:45,19.6,90,1,WNW,13,1019.9,23.2,67,6,SSE,22,1019.9
,2020-03-22,18.0,29.6,0,6.8,10.3,SSE,48,18:56,19.8,91,7,W,6,1018.7,28.0,60,7,E,15,1015.8
,2020-03-23,18.1,23.0,0.6,6.6,4.9,S,46,02:16,19.9,69,5,S,15,1025.3,22.1,66,6,SSE,22,1024.6
,2020-03-24,16.4,22.4,6.0,5.0,0.5,NE,31,18:38,17.4,97,7,NNW,13,1024.8,21.5,75,7,E,20,1021.7
,2020-03-25,17.4,25.6,0.4,3.4,4.3,SSE,39,13:50,19.4,84,6,WNW,6,1019.1,23.5,73,8,SSE,24,1018.3
,2020-03-26,16.9,22.4,19.4,5.8,3.7,SSE,50,03:54,18.9,77,7,S,20,1025.0,21.0,72,6,SSW,28,1025.0
,2020-03-27,17.4,23.9,0.6,1.8,3.6,E,35,01:48,20.2,71,6,ESE,20,1027.2,22.5,52,6,ESE,19,1025.9
,2020-03-28,15.0,26.2,0,4.6,5.6,E,33,16:13,16.4,93,3,WNW,13,1025.6,24.7,53,7,ENE,17,1023.0
,2020-03-29,16.4,26.0,13.4,5.6,7.5,NE,41,14:01,18.5,100,5,W,2,1020.9,25.2,71,6,NE,24,1017.2
,2020-03-30,18.5,24.8,1.0,4.0,1.7,NNW,31,10:42,20.1,94,7,NW,6,1014.1,24.5,66,7,WNW,11,1011.4
,2020-03-31,17.2,27.0,0,2.8,10.1,ESE,28,13:23,18.1,95,2,WNW,11,1016.7,26.7,67,2,SE,17,1015.7
,2021-04-1,14.6,27.3,6.6,4.8,9.8,W,26,01:36,15.9,92,1,W,17,1025.0,26.7,58,2,E,13,1023.2
,2021-04-2,15.9,27.3,0,2.8,10.8,ESE,20,13:18,17.5,98,3,WNW,15,1026.5,26.3,60,1,ESE,15,1025.7
,2021-04-3,16.0,26.9,0,4.0,10.8,NE,30,12:50,17.3,97,1,WNW,19,1026.2,26.6,58,1,ENE,20,1022.3
,2021-04-4,16.7,27.3,0,7.2,9.9,NNE,31,16:17,20.4,86,1,WNW,11,1019.8,25.0,71,6,E,11,1015.8
,2021-04-5,17.8,28.3,0,5.6,10.2,SSE,31,08:55,23.1,86,2,S,19,1019.5,28.2,64,2,SSE,19,1018.3
,2021-04-6,19.2,27.5,0.6,3.3,7.7,ESE,31,16:44,22.4,96,2,WNW,9,1021.9,24.3,77,6,ESE,20,1019.8
,2021-04-7,18.6,26.5,1.2,4.4,6.5,ENE,37,19:12,21.9,98,5,ESE,13,1019.3,23.7,77,7,SE,17,1015.7
,2021-04-8,18.4,26.8,6.8,3.2,10.0,N,22,03:06,20.7,99,2,WNW,9,1014.0,26.7,64,2,E,13,1009.9
,2021-04-9,17.2,28.8,0,4.8,6.4,SSE,52,18:24,20.2,87,2,W,13,1005.3,28.6,51,1,W,4,1001.5
,2021-04-10,16.5,24.5,0.2,6.4,8.0,W,48,20:15,16.9,74,7,W,19,1006.9,23.9,34,1,W,26,1004.0
,2021-04-11,13.5,,0,5.8,,,,,16.5,42,1,W,31,1009.3,,,,,,
,2021-01-1,17.8,22.0,4.2,2.4,0.0,SSE,39,09:52,20.5,73,8,SSE,17,1021.8,20.6,66,7,SSE,20,1020.5
,2021-01-2,16.1,22.4,5.2,4.2,0.0,E,37,20:12,18.4,92,8,WSW,11,1016.8,20.1,90,8,ESE,6,1013.9
,2021-01-3,18.0,26.5,7.8,2.2,2.9,ENE,35,14:07,20.5,100,8,NE,11,1009.6,25.5,79,3,NE,20,1007.1
,2021-01-4,20.4,27.7,0.6,3.2,1.2,W,80,15:25,22.3,92,8,NW,4,1006.6,25.7,77,7,E,9,1004.3
,2021-01-5,19.3,28.0,13.0,2.8,10.4,SSE,41,22:27,22.1,88,6,WNW,11,1008.9,25.2,72,4,E,19,1007.3
,2021-01-6,19.8,25.4,1.6,6.4,3.2,SSE,54,14:04,21.8,83,7,SSW,20,1014.6,23.9,68,5,SE,31,1014.9
,2021-01-7,18.4,23.5,1.8,9.2,8.0,SSE,57,23:55,21.9,60,5,SSE,24,1020.6,21.2,72,6,SE,20,1021.0
,2021-01-8,17.6,22.7,5.4,7.2,3.5,SSE,52,09:34,20.2,59,7,SSE,20,1023.6,22.2,61,7,SE,28,1023.1
,2021-01-9,16.7,26.7,0,6.0,12.0,ESE,35,10:19,21.7,66,4,SE,20,1022.9,26.5,54,1,ESE,17,1021.4
,2021-01-10,17.0,27.8,0,5.6,13.4,E,31,15:03,20.9,81,1,W,11,1021.2,27.2,58,1,E,24,1019.2
,2021-01-11,18.2,28.6,0,11.8,13.1,NE,43,17:17,21.5,77,3,NNW,4,1019.3,28.1,55,1,NE,22,1016.4
,2021-01-12,18.8,29.3,0,9.0,12.6,NE,41,16:41,23.1,74,6,E,7,1015.4,28.2,66,7,ENE,15,1013.1
,2021-01-13,20.9,29.8,0,10.0,12.6,NE,44,17:33,23.3,80,5,E,2,1017.9,29.5,58,1,ENE,22,1015.5
,2021-01-14,20.8,31.6,0,10.8,8.0,S,56,19:10,22.9,84,7,NE,9,1010.9,29.3,65,1,ENE,28,1006.0
,2021-01-15,20.6,28.1,0,10.4,9.0,WSW,48,22:53,21.9,80,7,SSW,15,1008.5,26.3,69,7,E,24,1002.5
,2021-01-16,17.3,27.0,0,10.6,13.2,W,52,00:10,19.1,36,0,W,24,1009.6,26.6,35,0,ESE,17,1008.0
,2021-01-17,16.3,27.1,0,9.0,11.8,ESE,43,13:08,20.3,48,0,W,20,1014.2,25.9,53,2,ESE,26,1013.9
,2021-01-18,18.4,30.1,0,9.6,12.9,E,35,15:14,22.3,78,1,NW,11,1014.7,30.0,56,1,NE,19,1010.2
,2021-01-19,21.1,25.2,0,8.6,0.8,SSE,54,09:45,23.0,79,5,SSE,24,1015.8,21.3,60,8,S,26,1018.7
,2021-01-20,17.0,23.1,1.2,8.2,2.4,SE,28,15:50,18.7,80,8,SSE,13,1023.5,22.1,58,7,SE,15,1022.2
,2021-01-21,15.2,28.2,0.2,4.8,13.3,NE,44,18:39,19.0,77,1,WNW,13,1020.3,27.7,50,1,E,28,1015.5
,2021-01-22,18.3,32.9,0,9.6,13.0,N,41,16:05,22.1,78,2,E,4,1011.5,30.9,56,1,E,17,1007.3
,2021-01-23,22.1,31.9,0,10.8,12.0,E,31,15:24,25.3,76,1,SSW,19,1012.7,30.5,61,1,E,17,1011.2
,2021-01-24,22.2,34.2,0,8.6,11.3,NNE,46,16:17,24.8,89,1,E,9,1012.5,32.7,50,2,NE,13,1009.2
,2021-01-25,21.9,32.3,0,13.0,12.4,NE,41,18:56,24.9,78,5,E,15,1009.4,30.5,58,1,ENE,15,1005.9
,2021-01-26,21.7,37.1,0,12.0,9.5,NNE,48,15:48,25.3,85,1,SE,6,1002.7,35.3,40,7,NE,22,999.2
,2021-01-27,21.3,23.5,0,12.0,0.2,SSE,54,07:24,22.5,85,8,S,28,1011.4,21.2,85,8,S,24,1014.3
,2021-01-28,18.6,22.5,19.0,4.4,0.0,SSE,46,17:15,20.5,88,8,SE,22,1020.7,21.7,75,8,ESE,30,1020.4
,2021-01-29,18.6,22.8,7.8,3.2,0.0,E,46,13:34,20.3,96,8,E,26,1018.5,20.5,99,8,E,28,1015.7
,2021-01-30,19.7,28.8,29.6,1.8,4.1,ENE,39,01:21,22.8,98,8,N,6,1012.3,26.8,83,6,NE,13,1010.3
,2021-01-31,21.8,23.4,0.4,7.4,0.0,SSE,50,11:12,23.2,86,8,S,26,1015.3,21.9,89,8,SSE,24,1016.6
,2021-03-1,19.8,30.8,0.2,6.4,9.5,SSW,54,22:36,21.5,95,7,W,9,1010.7,30.1,69,1,ENE,22,1005.7
,2021-03-2,20.1,24.7,0,8.2,7.7,SSW,48,23:41,21.4,78,5,SW,9,1011.5,22.0,57,5,SSE,26,1012.3
,2021-03-3,18.1,23.5,0.6,7.6,7.9,S,44,08:23,19.0,69,8,S,20,1015.7,22.9,59,3,SE,20,1015.2
,2021-03-4,16.0,28.7,0.4,6.8,11.3,ENE,33,15:40,17.8,81,1,WNW,15,1015.1,28.2,56,2,ENE,22,1009.3
,2021-03-5,17.8,25.0,0.2,8.0,10.2,SSE,52,10:52,20.1,75,1,WSW,9,1007.4,24.2,52,2,SSE,31,1008.7
,2021-03-6,17.9,24.8,0,8.4,9.3,SSE,37,16:58,19.9,55,7,S,15,1012.9,22.9,48,1,S,17,1012.3
,2021-03-7,16.1,27.3,0,7.0,9.5,NE,37,17:11,18.0,75,4,W,15,1015.7,26.6,59,5,E,24,1012.3
,2021-03-8,18.0,31.2,0,7.6,4.9,WNW,46,16:18,20.9,87,7,WNW,9,1011.9,28.5,56,7,NNW,11,1007.9
,2021-03-9,19.6,28.8,0,6.2,8.4,SSE,39,12:56,21.8,78,7,WNW,17,1011.4,28.3,63,5,SE,24,1012.1
,2021-03-10,20.4,27.9,0,6.6,3.6,ENE,33,19:28,21.8,76,5,SE,13,1020.6,27.1,61,6,E,22,1020.0
,2021-03-11,20.0,28.1,0.2,4.2,3.9,E,43,13:02,21.4,91,7,NNE,6,1021.9,24.9,69,7,ENE,24,1019.9
,2021-03-12,21.4,27.4,1.8,7.8,2.1,NE,44,17:22,22.6,83,7,NNW,9,1018.3,25.5,74,7,ENE,17,1015.6
,2021-03-13,20.4,29.4,25.6,0.6,10.2,NNE,46,16:56,20.9,99,3,W,7,1015.0,26.8,74,5,ENE,11,1010.2
,2021-03-14,19.3,19.3,22.8,10.0,0.0,S,57,10:38,19.3,98,8,SSW,24,1012.8,16.7,89,8,SSW,28,1015.8
,2021-03-15,12.2,24.3,21.6,4.0,10.8,SSW,41,09:23,14.0,85,1,W,19,1022.1,23.4,57,1,SSE,20,1021.6
,2021-03-16,14.0,21.2,0,6.6,0.3,ESE,46,20:54,17.1,76,8,W,9,1025.7,20.1,85,8,W,6,1023.9
,2021-03-17,17.1,23.8,13.6,2.4,1.1,ESE,52,15:24,19.9,77,7,SE,24,1025.5,21.9,71,7,ESE,33,1024.0
,2021-03-18,18.0,21.5,9.8,6.2,0.0,ESE,57,21:14,21.4,78,8,ESE,41,1024.3,19.5,98,8,E,13,1024.1
,2021-03-19,17.3,25.7,54.4,3.4,1.3,ESE,57,22:52,21.4,78,8,ESE,28,1025.6,22.9,73,7,ESE,28,1024.9
,2021-03-20,18.3,21.8,47.6,2.8,0.0,ENE,78,16:10,19.6,100,8,ESE,26,1022.5,19.1,100,8,E,31,1021.1
,2021-03-21,19.0,20.3,110.4,,0.0,E,70,06:47,19.4,94,8,E,44,1024.8,19.1,88,8,ENE,22,1024.1
,2021-03-22,18.0,19.9,28.4,4.6,0.0,E,44,23:12,18.0,99,8,NNE,22,1023.1,18.9,99,8,ENE,17,1019.6
,2021-03-23,17.2,20.4,46.8,0.4,0.0,NE,59,07:49,18.5,100,8,NE,31,1008.5,19.2,100,8,NNE,24,1000.9
,2021-03-24,17.7,29.2,19.4,1.8,10.7,WNW,46,14:15,20.4,85,1,WNW,15,998.7,29.0,44,4,WNW,26,997.7
,2021-03-25,17.1,29.1,0,6.6,9.0,W,33,20:26,18.9,78,7,SSW,2,1003.4,24.0,62,6,E,13,1003.3
,2021-03-26,15.2,26.3,2.0,6.6,10.3,W,26,23:01,16.8,82,1,WNW,19,1013.7,25.4,57,2,ESE,19,1011.8
,2021-03-27,16.6,28.5,0.2,4.6,9.8,W,28,05:27,17.8,92,1,WNW,17,1013.8,28.0,33,3,W,6,1011.2
,2021-03-28,16.7,27.0,0,6.8,10.6,ESE,31,13:24,17.7,87,1,WNW,13,1017.6,24.4,54,1,SE,20,1015.6
,2021-03-29,15.7,26.7,0,6.0,10.5,ESE,26,15:12,17.1,89,1,WNW,15,1020.2,25.9,56,2,ESE,20,1018.7
,2021-03-30,16.2,23.3,4.2,7.2,7.1,S,39,16:33,17.4,74,7,SSW,17,1023.8,22.4,49,7,S,20,1022.6
,2021-03-31,14.4,24.6,7.2,6.2,8.9,SSW,43,11:21,15.5,84,7,W,20,1024.4,23.8,48,1,S,19,1022.9
,2021-02-1,20.7,28.9,0.8,0.4,6.8,NNE,44,17:26,22.1,86,7,S,7,1016.1,28.3,68,1,ESE,17,1012.3
,2021-02-2,17.5,25.8,17.4,7.6,5.9,SSW,43,04:49,19.1,87,7,SW,17,1010.5,23.2,60,2,SE,24,1010.5
,2021-02-3,17.5,25.8,5.0,7.8,9.3,S,31,09:10,19.4,72,1,SSW,15,1013.7,24.7,56,5,ESE,17,1012.6
,2021-02-4,17.9,28.9,0,6.8,10.1,NE,48,13:58,21.5,88,6, ,Calm,1013.4,27.7,62,5,NE,30,1010.0
,2021-02-5,20.8,28.3,0,8.4,11.2,NE,54,12:25,23.5,84,2,NE,17,1012.1,28.1,71,2,NE,33,1009.0
,2021-02-6,21.4,24.6,0,9.0,1.1,NE,37,23:06,23.6,83,8,NE,11,1004.8,23.1,95,8,NE,13,1002.9
,2021-02-7,19.4,28.8,1.4,3.4,11.2,SE,43,15:06,21.0,88,2,WNW,15,1006.4,27.3,60,5,ESE,22,1006.8
,2021-02-8,20.1,24.2,0.2,8.6,3.6,SSE,37,08:18,20.9,79,6,SE,22,1014.0,22.9,64,7,S,20,1013.6
,2021-02-9,19.1,25.8,0,5.4,6.5,SE,37,13:00,21.6,63,7,SE,17,1017.7,23.5,58,4,SSE,20,1016.7
,2021-02-10,16.6,27.1,2.4,6.4,9.9,SSE,30,00:17,18.7,93,5,WNW,11,1017.7,26.7,55,4,ESE,15,1015.5
,2021-02-11,17.8,27.9,0.2,9.2,11.9,NNE,46,19:36,20.4,76,1,NW,9,1015.3,27.6,54,1,ENE,28,1011.8
,2021-02-12,18.9,33.2,0,11.0,4.6,NNE,50,23:37,21.2,71,8,ENE,7,1008.8,31.6,49,6,N,22,1005.0
,2021-02-13,20.2,20.6,15.4,7.4,0.0,SSE,46,10:42,20.3,99,8,SSW,19,1007.6,20.2,93,8,SSE,26,1009.9
,2021-02-14,16.8,25.3,14.4,2.0,11.1,SSE,48,13:14,19.0,92,3,SSW,19,1016.1,23.4,59,4,S,22,1015.8
,2021-02-15,18.6,24.0,0,8.0,4.1,S,70,16:53,20.5,63,7,S,22,1018.9,23.0,62,6,SSW,37,1018.6
,2021-02-16,19.0,27.5,7.8,5.2,8.7,SE,37,12:32,21.8,88,7,ESE,19,1021.5,26.0,65,5,ESE,22,1021.6
,2021-02-17,18.8,27.0,9.2,7.8,7.0,ESE,39,13:53,21.3,74,7,SE,20,1023.9,23.9,64,6,ESE,33,1023.8
,2021-02-18,19.5,25.6,0,6.4,5.2,ESE,39,10:24,22.3,61,1,ESE,20,1024.8,23.1,81,7,ESE,2,1023.6
,2021-02-19,20.4,29.7,7.0,6.4,9.7,E,43,23:19,23.7,82,6,E,22,1021.7,26.9,68,5,E,15,1018.5
,2021-02-20,20.2,29.3,0,6.2,10.7,E,26,14:57,22.5,98,7,WNW,4,1016.7,28.9,72,1,E,13,1013.5
,2021-02-21,21.4,29.2,0,5.4,11.5,ESE,33,14:49,23.2,91,6,SW,6,1011.5,27.7,64,3,SE,19,1008.8
,2021-02-22,20.1,29.5,0,5.6,10.7,SSW,57,20:16,22.0,91,1,WNW,15,1006.8,29.0,63,1,SSE,28,1005.4
,2021-02-23,19.8,21.4,0,8.4,0.0,S,48,16:24,21.3,67,7,SSE,22,1012.5,20.8,60,7,S,26,1014.2
,2021-02-24,16.5,21.9,30.2,5.6,2.2,SE,41,23:15,18.1,99,6,SW,13,1018.0,19.8,94,7,S,19,1016.4
,2021-02-25,17.9,25.8,4.6,2.0,0.9,E,20,14:48,18.6,97,7,WNW,9,1011.4,23.2,88,8,ESE,7,1010.4
,2021-02-26,17.8,28.0,4.2,1.2,10.7,ESE,39,16:06,20.9,95,1,SSW,11,1010.2,27.8,60,1,ESE,22,1009.5
,2021-02-27,20.1,23.2,0.2,7.6,0.0,ESE,22,23:11,20.1,90,8,N,2,1014.6,22.5,90,8,ENE,13,1012.4
,2021-02-28,19.8,28.9,0.2,2.8,10.9,SSW,28,07:17,22.2,88,6,SSW,17,1012.7,28.3,62,1,ESE,19,1010.8
